"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.01285583368144,0.936,0.112,0,"5","Adgrl4"
0,4.55599553280095,0.932,0.111,0,"5","Adgrf5"
0,4.15156447237755,0.912,0.114,0,"5","Fn1"
0,4.85870899062734,0.862,0.105,0,"5","Kdr"
0,5.40337176789554,0.794,0.055,0,"5","Slco1a4"
0,4.69167635916509,0.691,0.052,0,"5","Tek"
0,4.12360536364441,0.85,0.213,0,"5","Cxcl12"
0,4.50566138943417,0.609,0.058,0,"5","Tie1"
0,4.5941666259908,0.591,0.051,0,"5","Emcn"
0,3.46172875170427,0.641,0.121,0,"5","Fzd6"
0,1.62255900888226,0.782,0.335,0,"5","S1pr1"
0,2.41702424866701,0.731,0.284,0,"5","Arhgap29"
0,4.87373308988941,0.44,0.028,0,"5","Flt4"
0,3.5935086012656,0.494,0.084,0,"5","Gpr4"
0,2.95414353754854,0.395,0.107,0,"5","Lpar6"
0,1.51688460358295,0.653,0.373,0,"5","Nrp1"
0,2.13956398527749,0.473,0.212,0,"5","Gpr146"
0,2.72344842532116,0.344,0.087,0,"5","Fzd4"
0,2.72610216510819,0.355,0.104,0,"5","Adgra2"
0,0.288976003023892,0.546,0.335,0,"5","Mertk"
0,1.15992873453233,0.635,0.429,0,"5","Adgrg1"
0,2.20785508088871,0.961,0.813,0,"5","Igf1r"
0,0.671539707154687,0.256,0.18,0,"5","Ackr3"
0,0.595064174317893,0.346,0.288,0,"5","Mlc1"
0,0.790120808638303,0.765,0.741,0,"5","Insr"
9.32587340685131e-15,0.273611537384467,0.387,0.372,4.50439685550919e-12,"5","Slc25a18"
0,3.61833927335026,0.979,0.221,0,"6","Slc17a6"
0,2.97501934767972,0.75,0.154,0,"6","Adra1b"
0,3.2900241984037,0.981,0.408,0,"6","Grm4"
0,2.2271440776937,0.934,0.367,0,"6","Hrh3"
0,2.21007543501049,0.816,0.261,0,"6","Gpr153"
0,2.8094283442112,0.932,0.38,0,"6","Grm1"
0,2.9842333854094,0.606,0.118,0,"6","F2r"
0,2.36275875206401,0.943,0.458,0,"6","Adgra1"
0,3.04727668838056,0.581,0.104,0,"6","Opn3"
0,2.51969352232556,0.514,0.087,0,"6","Ret"
0,2.14800837104469,0.57,0.156,0,"6","Flt3"
0,4.46954754841455,0.426,0.029,0,"6","Vipr2"
0,0.90169375480976,0.835,0.442,0,"6","Epha6"
0,3.77625985916051,0.406,0.029,0,"6","Adra2b"
0,1.70149982948802,0.592,0.218,0,"6","Gpr63"
0,2.32221773495841,0.515,0.145,0,"6","Oprm1"
